item_id,title,brand,main_category,sub_category,content_text
i1,Mario Kart 8 Deluxe,Nintendo,Racing,Switch,racing kart multiplayer nintendo switch fun party
i2,The Legend of Zelda,Nintendo,Adventure,Switch,adventure open world exploration puzzle nintendo
i3,Call of Duty: Modern Warfare,Activision,Shooter,PS4,shooter fps multiplayer military action
i4,FIFA 24,EA,Sports,PS5,sports soccer football multiplayer ea
i5,Animal Crossing,Nintendo,Simulation,Switch,simulation cute island life nintendo relaxing
i6,Elden Ring,FromSoftware,RPG,PS5,rpg dark souls fantasy open world difficult
i7,Minecraft,Mojang,Sandbox,Multi,sandbox creative building blocks multiplayer
i8,Grand Theft Auto V,Rockstar,Action,PS4,action open world crime driving multiplayer
i9,Fortnite,Epic,Battle Royale,Multi,battle royale shooter free multiplayer building
i10,Super Smash Bros,Nintendo,Fighting,Switch,fighting multiplayer nintendo crossover characters
